word,reading,meaning
以外,いがい,selain; kecuali
以上,いじょう,lebih dari; di atas
以下,いか,kurang dari; di bawah
以内,いない,dalam; tidak melebihi
意外,いがい,tidak terduga; mengejutkan
意見,いけん,pendapat; opini
意識,いしき,kesadaran
意志,いし,kemauan; tekad
意味,いみ,arti; makna
印象,いんしょう,kesan
影響,えいきょう,pengaruh; dampak
栄養,えいよう,nutrisi; gizi
演じる,えんじる,memerankan; berakting
応じる,おうじる,merespons; menyesuaikan
応募,おうぼ,melamar; mendaftar
温暖,おんだん,hangat (iklim)
価値,かち,nilai; harga
確認,かくにん,konfirmasi; memastikan
活動,かつどう,aktivitas; kegiatan
環境,かんきょう,lingkungan
感謝,かんしゃ,rasa terima kasih; syukur
感情,かんじょう,perasaan; emosi
観察,かんさつ,observasi; pengamatan
記憶,きおく,ingatan; memori
機会,きかい,kesempatan; peluang
規則,きそく,peraturan; aturan
技術,ぎじゅつ,teknologi; keterampilan
議論,ぎろん,diskusi; perdebatan
共通,きょうつう,umum; bersama
協力,きょうりょく,kerjasama
緊張,きんちょう,tegang; gugup
経験,けいけん,pengalaman
経済,けいざい,ekonomi
結果,けっか,hasil; akibat
結論,けつろん,kesimpulan
現在,げんざい,saat ini; sekarang
現実,げんじつ,kenyataan; realita
限界,げんかい,batas; limit
効果,こうか,efek; hasil
交流,こうりゅう,pertukaran; interaksi
行動,こうどう,tindakan; perilaku
公平,こうへい,adil; tidak memihak
国際,こくさい,internasional
個人,こじん,individu; pribadi
困難,こんなん,kesulitan; hambatan
最近,さいきん,belakangan ini; baru-baru ini
最終,さいしゅう,terakhir; final
才能,さいのう,bakat; talenta
参加,さんか,partisipasi; ikut serta
支援,しえん,dukungan; bantuan
自信,じしん,kepercayaan diri
自然,しぜん,alam; alami
実現,じつげん,mewujudkan; realisasi
実際,じっさい,sebenarnya; kenyataannya
社会,しゃかい,masyarakat; sosial
習慣,しゅうかん,kebiasaan
重要,じゅうよう,penting
主張,しゅちょう,klaim; argumen; menegaskan
状況,じょうきょう,situasi; kondisi
情報,じょうほう,informasi
成功,せいこう,sukses; berhasil
成長,せいちょう,pertumbuhan; berkembang
責任,せきにん,tanggung jawab
積極的,せっきょくてき,aktif; proaktif
説明,せつめい,penjelasan
選択,せんたく,pilihan; memilih
想像,そうぞう,imajinasi; membayangkan
存在,そんざい,keberadaan; eksistensi
対応,たいおう,respons; menangani
対象,たいしょう,objek; target; sasaran
達成,たっせい,pencapaian; mencapai
担当,たんとう,bertanggung jawab atas; penanggung jawab
地域,ちいき,daerah; wilayah
知識,ちしき,pengetahuan
注意,ちゅうい,perhatian; hati-hati
調査,ちょうさ,investigasi; survei
直接,ちょくせつ,langsung; secara langsung
提案,ていあん,proposal; saran
適切,てきせつ,tepat; sesuai
展開,てんかい,pengembangan; perkembangan
伝統,でんとう,tradisi
努力,どりょく,usaha; kerja keras
特徴,とくちょう,karakteristik; ciri khas
独立,どくりつ,kemerdekaan; mandiri
内容,ないよう,isi; konten
認識,にんしき,pengakuan; kesadaran
能力,のうりょく,kemampuan; kapasitas
判断,はんだん,penilaian; keputusan
比較,ひかく,perbandingan
表現,ひょうげん,ekspresi; ungkapan
評価,ひょうか,evaluasi; penilaian
複雑,ふくざつ,rumit; kompleks
文化,ぶんか,budayaaaaaaa
変化,へんか,perubahan
方法,ほうほう,metode; cara
目的,もくてき,tujuan
問題,もんだい,masalah; soal
役割,やくわり,peran
優先,ゆうせん,prioritas
要求,ようきゅう,permintaan; tuntutan
理解,りかい,pemahaman
利用,りよう,penggunaan; memanfaatkan
例外,れいがい,pengecualian
連絡,れんらく,kontak; komunikasi
論理,ろんり,logika
話題,わだい,topik pembicaraan
安定,あんてい,stabil; stabilitas
維持,いじ,mempertahankan; menjaga
一般,いっぱん,umum; biasa
印刷,いんさつ,cetak; mencetak
運営,うんえい,operasi; manajemen
延長,えんちょう,perpanjangan; memperpanjang
応用,おうよう,aplikasi; penerapan
改善,かいぜん,perbaikan; meningkatkan
解決,かいけつ,solusi; menyelesaikan
概念,がいねん,konsep; gagasan
確保,かくほ,memastikan; mengamankan
活用,かつよう,memanfaatkan; penggunaan aktif
完成,かんせい,penyelesaian; selesai
管理,かんり,manajemen; pengelolaan
基準,きじゅん,standar; kriteria
基本,きほん,dasar; fundamental
記録,きろく,catatan; rekaman
強調,きょうちょう,menekankan; penekanan
共有,きょうゆう,berbagi; sharing
具体的,ぐたいてき,konkret; spesifik
計画,けいかく,rencana; perencanaan
継続,けいぞく,kelanjutan; melanjutkan
研究,けんきゅう,penelitian; riset
現象,げんしょう,fenomena; gejala
効率,こうりつ,efisiensi
構成,こうせい,komposisi; struktur
根拠,こんきょ,dasar; alasan; bukti
最大,さいだい,maksimum; terbesar
最小,さいしょう,minimum; terkecil
作成,さくせい,pembuatan; membuat
参考,さんこう,referensi; acuan
支持,しじ,dukungan; mendukung
実施,じっし,implementasi; pelaksanaan
実験,じっけん,eksperimen; percobaan
集中,しゅうちゅう,konsentrasi; fokus
準備,じゅんび,persiapan
処理,しょり,pemrosesan; penanganan
進化,しんか,evolusi; berkembang
推測,すいそく,dugaan; perkiraan
制度,せいど,sistem; institusi
整理,せいり,pengaturan; merapikan
設定,せってい,pengaturan; konfigurasi
専門,せんもん,spesialisasi; keahlian
相互,そうご,saling; mutual
相談,そうだん,konsultasi; berdiskusi
測定,そくてい,pengukuran; mengukur
存続,そんぞく,kelangsungan; bertahan
対策,たいさく,tindakan; langkah-langkah
体験,たいけん,pengalaman langsung
代表,だいひょう,perwakilan; mewakili
単純,たんじゅん,sederhana; simpel
知覚,ちかく,persepsi; penginderaan
中心,ちゅうしん,pusat; inti
調整,ちょうせい,penyesuaian; koordinasi
通常,つうじょう,biasanya; normal
定義,ていぎ,definisi
適応,てきおう,adaptasi; menyesuaikan diri
展示,てんじ,pameran; memamerkan
統合,とうごう,integrasi; penggabungan
特定,とくてい,spesifik; tertentu
把握,はあく,memahami; menguasai
発展,はってん,perkembangan; kemajuan
反応,はんのう,reaksi; respons
比率,ひりつ,rasio; perbandingan
必要,ひつよう,perlu; diperlukan
評判,ひょうばん,reputasi; nama baik
分析,ぶんせき,analisis
変更,へんこう,perubahan; modifikasi
保存,ほぞん,penyimpanan; menyimpan
目標,もくひょう,target; sasaran
優れる,すぐれる,unggul; luar biasa
要因,よういん,faktor; penyebab
理論,りろん,teori
立場,たちば,posisi; sudut pandang
量,りょう,jumlah; kuantitas
